record_id,cluster_id
oX2jLStVUM,1
y8k6R24BMN,3
l9g28bdfk0,4
H7SiAwezRK,4
hkcifVzBAQ,1
Kt8B0ezNVv,1
wgi1KBeE4Z,2
YcB6GjShUH,1
IZ8nGqB53M,2
vYXkQ7ydIP,2
zHtNGCP1YW,0
j9EBQbSXwH,3
npbG2ezXTP,1
3RQ4hM5Sv2,1
ac8pBTHVfL,1
WAzcvYmpNI,1
2UsCxIlDfR,2
wPCM56I4dl,1
dplyE3XGgQ,3
1ofBCVjDrw,0
R8dI2aqTgc,1
Ouc1Ck5tMK,2
CFqyRVfhEb,2
lVcGFAufmk,1
Cp6kT190dv,4
VwUAOYTtaF,1
3mZjFHkf7n,4
tRMjJ9hZPa,3
5GXVuD0FYg,3
kBgYpbAha1,2
FfvZnKoV0s,1
PRjLeSDv1I,2
1xpgq8yHJ0,1
fpy6L49bXe,4
bp7oZf0SCO,2
8FkDdUTVN5,1
mMDb705TVZ,2
usTZPMH2QF,4
LxmXvBrNaG,4
MtgpR67bWv,4
GTwn8D4xAu,1
QgycWuq1Tt,4
fvlUaN6RWY,4
FRK8vLjQfk,2
JrcmUpFaDM,1
k84nT7VRdQ,1
aJeGIrU7Ru,0
fMgY6ySWjs,4
A3WkGKvchl,1
2Zk7G3PVAF,3
8c1QBpkrux,0
c1BACUGhFO,1
Ly2UbJYai6,1
sajNtV1Awe,1
SohMyvEpgJ,4
bYU0mHlsGM,1
Rn6XmWupvF,2
VZzYc2aC3W,4
v3FXECARrN,1
6F7ZNJI0Rv,3
qyLxvrwCgE,0
RdMbO942NE,1
Fi4HEJmYuU,4
zt4hifUYZe,4
KcAbdY0rPw,1
g5IN1t3GEl,0
FryBW1X4Vz,4
5NIveR8Ebk,0
WJF6nhDIaX,1
0XUwhzG19I,4
ethjcBqHx9,0
pq3yPh9z6t,1
o4PJfcTOKh,1
QCfarJPLsA,1
NurZCfVmo2,3
hBEoXe7bKW,4
ESUA5nwurL,2
Ae8qgdsjEN,1
ZsI5KPi0Fr,1
y3qIPojRkc,0
qzAJldDC2o,1
u2UETXM40p,4
IRoQ13lYde,1
NWfLwdjHln,1
vVFO0Hpi1Z,1
jCsDUovrOF,4
Uc97Fdekj4,2
zuo7YKgpDN,1
obO0IlTxF6,2
hV8Q3106br,4
wyVXex12ln,2
M6nlpFeSYV,2
UWV6OeSPQX,3
kjAP39yoIl,4
uGNFQse36x,1
vLXJuygh9B,0
ypQ8EiOVL9,1
rlZE1WsqNo,1
3rIBDif7Pd,4
oua274Zfm1,1
fXVgqQujkN,1
PWQLV9z1cm,1
gYm9ZI30FH,4
ieCzq6bjJr,1
Y3U96KEBaL,1
qKbjHyCtIQ,1
wkg7DWdFyT,1
c2Ks1XiVnA,2
XPknLqvwsW,1
jg5F9i7pPl,1
dFtIrzSECf,1
82mIvyqxNJ,2
OEbHkGjCmd,0
KPERZHiCef,4
btWoxmNUgP,1
sA7Sz3Pqb4,1
784NTefPHJ,1
aPOyfFCYGN,4
RLpcnQ9STH,0
QNAHD1bmVW,2
UN8RbHAekz,0
SAhxTqu78N,1
9Hvez5i1oF,1
qs7TpvRWDn,2
ofwA9Qnuy7,2
brtxPNZRVs,4
9BJMSnZO14,4
gpZekvIG0C,1
IBGN9mzSDv,0
ZFpAMt7vO6,4
3z6tlP85Eg,4
hjQFuyWHke,1
KZnM64GqP9,2
yY1CK27OAk,1
7DAh9KZYfU,1
VPNKS0B62v,3
5X48gEZUNC,2
Gm4SIonQyD,1
B3WTAOEmeb,1
4ywt3vRUIM,4
4RkoYsGIui,1
NDq2Zt7mdv,1
DlcHiI9AWE,2
qvySzET9ax,4
hPJoIum4BL,3
MpikcFXgUt,1
OgwJ6uY47r,1
DJQLWztYVS,4
WHDqzQSoMs,1
reduXpas1w,1
MewTND2t8E,1
lPE5YyIbBQ,4
03efXpClNF,0
ek4ozH2nmi,1
DKmboye8YX,0
GMt0zi75Qv,3
BZ045elJVv,0
Wnl0vUcJYD,1
VJFf3hp29S,0
esPZUB7cCT,0
uXw7irBaNt,1
ijSHqFULru,4
w7ZsNBGr9k,4
9ZRJaTuQx2,1
ztjZTDyRMB,3
ch0k83IBeR,4
D5Etzu1ARC,2
UWN0IxEcfF,4
3tTlkBiLY1,4
N1okvVUYbr,4
NUteZu8n25,3
C7UzbfFEvG,1
aG3STEZYzF,4
igzAF8Saxe,1
J3czoNlH0D,1
sJQSwnIbkE,0
3CSTy4mzoP,2
4PadYv3g8Q,3
OH8UdLoYFu,4
LM5KH4hxwY,2
9S8oBctEnw,1
jCdPfw8nKs,3
fRO9tBG7Hw,4
yZbJ3cAVth,1
YIWygiM4AR,2
ge6mZHtKM3,4
Q8dHEMFta2,4
nNk8Daxv6V,3
WnPsYi1kRg,2
buMNK1ek3r,4
b8OTK7kPU0,2
0s7y6J2XUi,0
I9K2xeWOp6,2
HvjE9GXVkC,4
kaIuifxMnW,3
ljg6fyO7GW,4
oqJzHtLpBu,4
s8jo0aGIkh,2
HuadYXg1q6,2
uK4MfcnU3p,1
tvUEnqkIXV,4
fs3rMdlYPv,4
PTOlGjqAD7,1
uXUg0lYZSM,1
VjsRitH4gn,1
OoM94nYK6p,1
7dXwefAOpi,2
s8hgdXIeDc,4
EQfeLR0OMH,4
dABKokMe4X,0
Uef3vEyFdx,4
WOjdM7eFzK,2
HwZ5eAFscp,1
ivRocDZVAW,3
L9M1bEzdwl,2
3nUOyTWg2t,1
doEz7l89sM,4
6mIv9UZcT4,1
nvURJIHVrl,1
dfn28RF1uj,4
ZkOt5Ycjp3,4
UKdQmi1qc8,4
3g4motEjsX,1
S5ZkrAXcRD,2
rztEGj4sRo,1
fsJpG4NH9M,4
VMCdHxhGeo,0
S9pBjPZHqk,3
AKYuNXW362,2
dWorVxTZn5,4
DuxNIXALbB,2
2dXwbgHGPn,4
Cx3B2bcf9o,3
YBLAG0iR16,2
agJKhD5BbE,0
o3j9TBdV2c,1
1UeXFEW93N,1
2tmp79hfP1,1
uKTQWYMh0N,4
KJn8D62rXg,0
ezioJASX7l,4
kgPWr4unFp,4
ziKA0YQFTo,4
cDPEXx63J4,1
eRmJLAxfkQ,1
nDrPM0sWao,1
LjsPck28Bo,4
NukXA1cj4V,0
MyERl4Sx25,4
cRidS641Cm,4
1x4F8b3qQ7,4
7NrhqYvSfB,4
YNZeqSg07t,2
5ntPUuG4gW,3
x48FPva1cg,1
mvR69fwSO4,1
PyxLs3REJX,4
0h8YT3bJIF,1
9vLejlYhfm,4
5qbuy9U8HX,4
0zIMP7ABqs,3
Id9FPUA2Vi,2
cdlJ5wWbzL,4
oYpa9y68N5,1
KLkuaMlX37,1
Eds36yoSAk,0
ZE3CbHG61g,2
MCSJhwsNuZ,3
sy0W6qxlSn,4
bHqgOBpZno,4
fSVXg6xU45,0
UKhxqZ1oaO,1
rX8iK4YEp5,0
sEGQi17RwM,1
HjgbREL3ue,4
2f0PMcn5dV,2
9poRTHAukB,1
YlvEfkinrZ,2
DpyBlMTwYK,3
NP8oYyL7sn,0
eLaO1A5wdU,3
0RAG5ud3K8,3
XVuTfyd9RI,2
CilFkdHuDo,3
I7vYjW9P4c,1
GQ7gLtfX6q,4
DBmOx62Ypn,1
ndwSU4MaVm,1
fuK7SsmaNi,1
SC6KLDlM2J,4
vFDX3ohbfg,1
ZdYliJF1fh,1
Sz94JvCaZN,1
UhjNOYE5Ps,1
2w5mRGdctj,1
Nc0Bu6TrP2,2
FtkRrWD4sQ,4
1XTuKMNjst,1
VTZuv4jMRe,4
cIgCNlPy3G,1
j9IEDNpkvP,2
oL5JpzGhaq,1
4eY1huLFDB,4
Wd4JAih6QT,1
wncDfaSHVJ,3
0BsIdq5b2F,1
v9qhMLcTGA,4
aVDzcsBbFW,1
9AsdHKnRlz,4
pc0ROCtnuT,4
fTeGoPZx2M,1
7gyU9I1JiH,1
cqGMR9J7l1,1
XslYmMdavt,4
A5iCnf467m,4
HTaEtrUbhi,1
CIBKm5vYRk,1
Im7X2SGfRT,4
9Ccb0KG4ps,4
ACYEPqdW7M,1
xqWFMbX5Ht,1
XNa78AjtvE,3
TOUt6E9CKF,4
We2dNgw3HO,2
iQ1b5qLhl7,1
d8tyPXHQfk,4
ACvUoWOVsX,1
xieXCQ8MZ5,4
5pb9NmxTir,4
QwBp7a8SoK,1
Qhnr3maG0x,3
Uv4qNFBgr5,0
l38dsZXWSV,3
6zbqe2N1VB,3
RZNh5DbQO0,1
DJ4sYSPHM5,4
o0AEXJz1tS,1
6XUKgQRLjJ,3
vhJkQN1ser,1
C6IovhqYsj,4
sMpxkNXtAT,4
I2tyK8m3hz,4
4gmI1V7waR,0
NAQFHEzf0I,1
dOKvJDkjLT,3
rx8whOjT1z,4
Ro0ABYOyNh,1
dEHct0SYmD,1
bustjBHexJ,3
x2AUrMR5nW,4
1OCnrvJEYD,1
yKbpYDZmX6,1
NqiLVOz1jS,3
N5iBEDnZq7,4
QwkmJsznyp,1
hFq6bl5LYf,3
mbigGn8EfA,4
bH1WPA3vDo,3
v8TtHPgVZX,1
mLtCyWoFHA,2
V29gxIe4kn,1
7r2hCgITeL,1
FJbXWUuK6g,2
upBKkZroGM,2
2zU3ltmIKu,1
gzvjblePEf,1
L5Irosw7t8,4
AyoP6DdlRk,1
n6AsyhgTOe,4
c0dfSUFloN,0
UlnzfcA52B,1
V0awyvPSbd,4
RaphYsClVn,1
AtSFZPkNCY,1
puJHQM5PwT,0
Nvl4aZ8nGK,0
451OS7PWLC,4
ZMjdCJiKW7,2
0FBK1Nv5XV,1
GhE5zo4sQC,0
sG8bOKNZFe,1
zK60CnLost,2
4oihl6gwJQ,1
N9jpHMP6g7,4
YbyOCHM6mI,2
s80FD5XitQ,0
7LZRCJbXfK,2
QghTYXSvb3,2
vCaUefbHI8,4
FBkK8O6Doy,0
rEFfLucaXR,1
CwPd280t6a,0
LiwqhuM89j,1
hs4y9aDtT1,1
ix853efpQ2,0
OL9TC0Dam6,4
D4bxuJ91VI,3
2b7Bc1nXFS,1
tx7d9lKRJw,1
TXUtx4PfVd,2
18qloZHGfR,2
63bFAwvLNq,1
xe6m9FqEKa,4
9Uj0sBEPOh,4
9sEMgj6z3S,1
o5OyjPR9Fi,4
QonOb7CHsR,2
3HEOQrlsTu,1
jvk0MCmyXF,3
9pgfRPYZ8y,1
I2Pqxkh7SX,1
jfPFNRpBD8,4
EwPND2keif,4
UJWXNnlchg,3
3QoeCJMln4,4
KFBd5PVSW4,2
X1K9u3xPpz,1
2UVXPger5m,1
Eo8uqPhcXk,4
7wjK2a9V8F,0
c7YV8ZXuP1,1
KIYAOsL2qy,4
Vx9YRCM0AZ,1
iaObsdSAku,3
L1miy5zVSN,0
e4KtLVcjl5,2
aA139eRiJd,1
FZecUgA43X,2
6gaCmAduNe,1
1qLx97c2py,1
q9r1kltJag,4
udLw9aUxqC,4
524YvyNfh1,2
3tLQ57AiGf,1
psCN6aW0Ec,1
jc9hybnDYI,4
qDerFY08PZ,3
NVb25T1GPH,0
5QwaCDtEPf,4
6QMXZ5gVw4,2
kEJdxAHwjc,4
0TEyKLJvih,3
rF2ILcWRe8,2
xKqzESPLAU,2
qXkYsSEh2r,1
UsIhRbXdO9,0
zPhSkUOuJD,1
MuRU2fhQat,4
IN2w84Utcu,1
rcH1qNWMOl,1
oOm4afZUuX,4
af4JZBNv7W,0
fjHwm5kJEF,4
umT67oyUkE,4
qn8woLVgJc,1
yB4nkCI1vs,1
XZd309Sx5m,1
j01dy7O4pr,4
gOqRorFzT0,4
V8HqiljCfz,2
nUbuzB9tZe,0
JiEI6pAOvZ,4
OTgJIb0AqH,4
U9OS5VNKMq,4
Rsx0rn6Vz3,4
gRYls71FO8,2
vJErHP4MOz,4
KpPeymaxbE,1
zDxvP9EQyU,1
Za2FLNEqMl,1
NMpi8Kl7n1,4
u6fCLIRnJt,1
u3JkgeXBRh,1
qCIEQkVtZR,1
lWU92QuRjE,3
E8pZQHJSfA,1
OZK1IpVz9T,1
c0pEseFuNt,1
WqzAFVMiJ2,0
2RhrskLHnD,3
eusyjAxqiv,1
vzBhEs3oyG,1
TEvXw4tbl2,3
OYt1hq0Jxs,2
pzJVwPNM8D,4
y8blBEezpw,4
F3984ae1yi,3
3cjLagTHNf,1
WJ3awB7Yq4,4
FetwQbcxuA,1
lo95jAbkcZ,4
Hcp2mGLQ4x,2
DS6Ro5J0fa,1
Vhz4yPwMgl,1
uXG9kCim1f,4
qov6GSRjTt,4
TRkQjr6Wc9,1
U0exS1Yr2b,3
AOhNGPJ2I7,1
29jDEUQ5Yp,1
ozTPxcBgFV,1
DzsaV4Fwpf,1
0bGnx5DsQS,0
y9nD4rMZqO,4
BWd3YHGCJS,4
8sGkHmyMTI,4
SQb9j71neG,4
Hcly8VBbkX,1
7ZEwqvirlo,3
IAu1c5rXaD,1
HmOMV5itwh,4
iYtN7SPfUb,4
W43hPCfxie,1
pMQdP1Kwyg,1
kwrhDAsH86,1
XI34mrdAPW,2
YzZcTnxR5v,3
EX3bHVLCNF,4
8U3olnTEMW,1
p74P5wbxB0,1
xiLPtEj2OF,4
s1Sg0rcjei,4
R58wACl4Ff,1
IYaZCTM9ce,2
bl8f30FxcQ,3
rStjw62JxP,2
DLNGKsEgMV,1
zyf6Zir0QD,2
sGIHWjRgVU,1
NcW3YqUbJF,2
JO6W1LEBRU,2
EUszeQAN2I,2
ogWSGa9cKv,4
NqPrej9Xzw,4
nwrfuv7h10,0
WH8jUcXxST,4
2LneXYD80g,4
MdrSaexDfP,4
jIH0lotKOQ,1
Wq0YjUXc7t,1
3Gu6LEie7I,3
79AylU30BR,0
7whJpu9VGD,2
uiBtknr2zw,1
oLhZun08Tw,4
lj03Q5WBxg,0
0IPmUEbhw8,1
Ah7TvbN4Zm,4
e8EWVRl4A9,4
eHCy43cli5,1
zlykfZRh2p,3
oc4dptwJMx,4
n0eQGvJAby,4
jUv1dZRoiA,1
57cDTIjEKh,1
9GId3Jnimf,4
webXIvnqUQ,4
4mfErSxnGH,1
drMsjnc3HL,1
mynlpGJt78,4
P7rV5CDn2d,4
MyTpi64Asc,2
XdVKYlz3oB,1
hQZ2mAfBYb,1
ntkUSV80wz,3
vLHkRoUOrJ,0
RtKmnEu3YV,1
mP9XTbrngi,1
ikASho4efI,4
zemXiIhYgM,4
kNyC3SBcKo,0
Fe1aXIySfV,1
bDdnFRKj3f,1
KhqGrI14A3,3
7oYGVdWu2S,3
VF3SWUvJMN,0
Tj14oypGIw,2
Krysz4BbCZ,2
DR4WwCfI6S,1
5JRZMftBDE,3
PSMXW732Cu,1
VPN9nqwA8e,0
RJTFWleyPk,3
KrOexQ2Bn7,4
NrAkfemCqZ,2
sQlbgCSw21,1
SU0QzGKkHq,4
eaxFPmUubW,2
3jL5dRx8AX,4
2YEaJFwtlI,4
uJeGXacdKL,0
XEBGQJia5w,1
K4J5hGjsmZ,3
lVmqz6L1yf,4
RHiXPMJ4CO,4
crBLgRYpnh,4
cJ1knWORyM,2
NjZe9MhnTq,1
TrXptcSFKI,2
uV5NKsQfGn,4
FcjQnmoGrv,1
fdliHcg4FI,4
c5S4UCuMwr,1
7HzsxRmhlY,2
WSknqv7gNI,3
pCqnHDjxda,1
RdLJMlXh4y,1
DQZgvbF4wJ,3
mPbJQIwEHA,1
tdulobcTgf,1
ia9qsQClNH,2
rxCpWiOJwu,3
1sp3gYkEem,0
o3R7pb2uHT,2
EzO58xJCFp,2
1K6fmhrbcG,2
h7K9wuHMJA,1
1X82s9qHST,1
vW9OzFrxft,1
xu70FOLThG,1
rZCn2ypDg5,4
38rYOmAe9K,0
yvlK70cBYd,1
72eUohKmIE,3
ovzmXIGaAV,4
YOL6tAMUXw,3
8g9ra4XMJZ,2
auGpoi9EVl,1
vQOc0jDl3R,3
7YtlyB1Cm8,1
Ngv4ijoS6m,3
ErDcVYI9TO,4
UpbkNiH0LQ,1
sebZFT8Ih4,3
M5nWgbqhiH,4
dF7VNHuqYb,2
CZL2E0U8nY,3
RF3Yjs6zBT,4
YdZEcWjSXT,2
CTOUo97Dzn,0
fbiE92vcI3,1
qpGxNmznhf,0
K2L1CykMAW,1
Go049BfUCn,2
hsFocPmlfx,4
foz1YZNSEF,4
Nq8suUKkx2,1
fUQkAueLIq,3
1ysG2SxZLA,1
9UrJ1ucK5k,1
dzKlgc2Hoa,1
zKq98fugE2,4
Py5UdB04np,4
o8PVFx7DMK,1
PGizhuwUFQ,3
q1PM7gVyTR,1
dze1hDqMIG,1
2pZ9QYfy3X,3
fqRab8zCLo,0
rejhfZ8EX7,2
d5mPLfNTeF,4
TUFXwtfJDQ,4
TU75paxjPf,2
xBoOiJm6Sg,4
1JNOQefYrx,0
AbEiDhvVSZ,1
VWLkB6Qb8C,1
Mh16i5KTay,4
Cp7zbBorHM,4
iUsYk7uNeh,4
1uwgovqKxk,3
EM2JlqOBtd,4
sj18tpIHbx,1
BKHljthcPq,1
z10DxL8N7Z,1
tZI6vA5VJO,0
CBGA3XTaib,1
rNIGFEtbDC,1
wsDmuT4Z5n,1
7jSM5X9OA2,1
nIbUJ3Ksxq,1
R16slF4EBy,1
TAzaDChkpn,1
FPZflsHC7Y,4
YGeFj6t9uZ,1
LExaGZgzuQ,1
i3BCHISJUu,2
hIEf3XFDzO,4
iJap1nBo3V,0
C8T7fqphUA,0
frTFaPVBMe,1
aJErmfLz1s,0
0FHANsmj1E,1
1yYdhIKmij,3
f7iIdDHB45,1
abLpPT0zFW,1
Nh2A4FtYvD,1
4KQvROW7yG,1
DUwVMCOoj4,1
UY4rdcOBWi,4
aXpzf2vtEk,2
hZyBv3sXLJ,1
xr6cN7GUbF,2
uk3FB0QPKq,4
2vnwOZQd8J,4
UIcsVCKfD0,3
10Qvny7V5s,0
O9FpHVfmK5,0
IzRbHQOcos,4
36R1zKk4e5,2
QRoHlKz652,2
09zWSyRCon,4
q4ruBevpQC,1
fiaxoceY3U,4
fmJQtPOXqe,4
4u9VcLNXli,2
6j5L0X9rgw,2
98sVJji1Gg,1
UmbFKf7Mva,1
N9iPODasn5,1
t4NDuhbVrd,4
8JUyK7I6sx,3
USWI7hkL1H,4
gld8cSMF5X,1
BbvP4ERpeX,4
O6xZYPUjTF,4
RiIFN38bJj,1
pacvxsKFdr,4
S6BT4akqio,1
U7DGrjgwaK,1
EZrwHT95vR,1
7EOBvomPJA,4
4jt6LGhNxO,4
wasEpADqd7,1
u4oicQgqAG,4
XGeYq60gbW,2
8BhNWgXnjq,1
36wZk4sDrX,2
gxUkbG0p7a,4
nM35RuNqxO,2
gOTH8hnurX,0
vXMVo04NcW,4
6nBFaGOhEk,1
AmO3gXfFRc,0
3WiB6cDvYT,4
6uCgsNBFHx,1
SnJRkYNMhi,1
eXvhRMmUzr,4
JAl8rihPN6,1
erSf3u9gBC,1
HZALFoNqex,1
S7efgMbaxs,0
BtPngLhW8V,4
Lgtl4MWNSx,3
4EygUDq8vu,0
TPbylOsIhz,1
A8x3RecCK2,3
la93OyVpfd,1
hZCQTI3jWY,3
A5S9LW32JH,4
B7KLWcdvHM,1
dgGvpfS1Eq,1
pPWncKguwa,1
VKQyGzTpeL,1
1qGjCWtXL2,1
Tym0NRxIYj,4
F8YTHS4yhC,4
ceo1GSZRtx,0
lcO5DhXJoW,4
t2ZeIXlMac,4
9ucMRKBY8G,4
4T6RQdzGxi,4
oIyb1sTHLB,1
pbKvJcBH3O,1
DKWPqz8bCv,3
LWh8s90lSm,1
rwhWoP68xm,1
yhRitLdEN6,2
JBlbSQG9v5,4
P4yz5LtATv,0
qmpuolk2XW,1
p1otB8lXqQ,2
hAk6sqT2uc,4
hz5vHj3Btp,3
A5J8eMbyZv,0
jbeJrcX0zs,4
IybsOGMjU0,1
scJuF16HDm,1
XEtpgJS9mQ,1
iKQnUcyBVD,1
yjxQUASLfT,0
7lXb9MenIw,2
i8KflsDbQU,1
yrT75gZtN3,1
QmJeuKGi1w,1
5v73lkymPY,1
oUn6rbkfCN,4
BjSfGEdKge,4
Ww94MLxcOC,1
gfqR9tDpK0,4
sY9HeqkJp6,4
mk6RxBfswM,4
gJPeWdENaM,1
ZksAqd0PjT,1
4z8k12pXBI,1
JyR8LH4CFh,1
HTmWuU04w8,1
Cez6MstHaF,4
e1d5VxN38M,1
cYVqXdxyHe,1
86sIlagAjX,2
mtsDWNRYMz,1
S27cl8eRMQ,4
ZTx7e2EhHu,0
pt3UuNFJTy,4
P4AJwIHCvZ,2
NYulOJeWD3,4
1ZUJjyHOsq,1
M0o5j8aYbu,0
aZ0FrxEBNJ,4
b2WwmvzOpX,1
T6FE2iJHUK,4
uSDyF2fphK,2
NZiKHqWSrV,4
fW8MietjuV,4
La7gE1YFPu,4
jxfeBygcC0,3
R4dL1JMB6a,1
4wj3a9QdyD,1
3MIW8bDAcB,1
tRUikmVdwT,0
3MdRXVSIFN,4
bJALVMyBwf,4
8o5OeiDFwQ,4
gu1xQpAf6R,1
4OTx8w6RVX,3
6y1LafgYO9,1
Gyq4ME5luf,2
BzQ9xNwCR5,1
0ZYMe6S1Ry,2
1aAQlDJ9Hn,4
Quy3hEUXiI,4
QHbB15MgRp,1
VHp8wCl5ki,1
g2ofk0187r,4
TPf4psAUui,4
qDf9whbNgU,1
nRaZmXzl5d,1
xylXZfIGjL,2
h72qUkzg6C,4
cSxCz58RN4,1
3Rah67sYLB,1
qC8GlAicB0,3
FR4OsY2EpJ,2
UG56pat2KQ,4
L6oJSG9KRI,1
d5k97OZ2YG,1
bWExA2VhLR,2
IifUbEK0O8,2
E1657YkGIe,1
dtmJWBA0Zk,4
KvVdL1DnHg,4
5dsWLvJBU4,0
sfMURXpJc7,4
pncqxsVTbY,4
2VeTJOWhoy,4
8jJMiBZUuK,3
KheYQH0Gys,4
DVmFXI3szU,4
xoZrMkJ6Pb,0
boGefrpgSd,1
02kvP3rUuE,4
QxPJc59e3f,2
0R21zaq3Wg,2
fRFnGdb7Ac,4
bqrDCwunkz,4
69LwnbBlCZ,0
Na3ZQVB6HF,4
gaOHNPrRMd,3
sBe0pjochx,3
0ZbNALS56T,0
VHJ7eupXKD,3
AotRHMlF5K,3
NPDXYpcfLA,0
2vEGxfVJ73,1
btf8TA7rYh,0
x5qZOKv8uD,4
OTB6oWPSCq,1
jZcJoQwFVe,1
bTV1iNvOCA,4
jcLnsViE2h,2
PnMkOZ6ftr,2
uYywKcQNCJ,4
1o2g8OEYzd,4
WzZXdPLqYV,4
JTDSws5ZRH,0
4DnElcBQH2,1
iX71WVKQlm,4
ElZtf6q14B,4
PAGVp0mDgr,0
3uq7gN0W8i,1
51wa3LfElo,2
U72A6sdpf0,1
HxpDcjR76C,3
enJuEPUtc9,1
SaYjqOyQNo,0
un6qf7NS3V,4
TsG1AacLhg,4
YbOXCwULZQ,3
KSxQlXqLIe,4
wUHhjY4vF0,4
D0VfBhWQCv,4
tH6GpUFAoJ,4
24Ul8gfxAI,1
0roiwde45T,1
L7JqrE3tUl,1
t9aShRXkO0,4
G8435mYyQz,2
xENrIuKswp,1
QeCUpmh8L2,4
FG31BSiK47,0
YLejSltGw9,1
8xREdMLV4K,4
03I9ilVTZJ,0
IVHMrpe4hj,1
unk8yLX1RS,2
0vOzVYPW61,1
eBSDc3ta1E,1
KxDqe1iA4R,4
VopOMJxDgw,1
Ea7YWt9SM8,0
BYRKybajMq,1
k4Fr87MvoR,4
nhQMcUJtP9,3
7a9UNVnIR1,4
PxCKgtnEoT,3
RYgdmW2GAF,1
9xiOtjIZST,1
dc6n1qKsCr,1
3I4OyF9bWt,1
yH9vxfNCWU,4
h2cVCLMEv8,4
DHI83ECABN,0
FPHoqCRIUw,4
ocJM2qR9Ua,3
RGlKTkiLP1,4
OAL1MYndGz,1
eRrBxEd37o,2
1PTLMGWcfy,1
9RrwGcOakF,1
GyCkLWvdic,1
GdpVuUlBSQ,2
ueKfzQPnbI,0
ZT81KfvoPg,2
196ldWIYJU,0
gXJaw4lehM,2
vymSZ3GjcW,3
l0wGOjH79F,1
BpMEIioeWw,0
5ab3eXT21z,4
1elwpFbgLf,2
TZMEri2geS,2
JuQT7wad2Y,4
n6frGsePSq,4
K9xIbJtF36,0
2vUBbJNjqy,2
Vode5FYJU3,0
wZ6fVncPjC,2
WkDGY3OMCS,2
H3PYeixnbh,0
nNd8JsyUE1,2
sMwr6K3iof,0
vXzCI2hwc8,1
5jn1qCtsKy,1
g6OoTtYMSr,2
Z0hRp5GExm,1
gbH2kJmRue,4
YnmDtrAK67,3
p2b30vjIw4,1
5OqmlQtZz1,4
KILNxlcJta,4
1zXU7QFxlR,3
3MTuYjoIGt,0
UEwVO5fXi2,1
R5ezQboATi,3
6Jb8cPO5sK,0
tZi3cpIylh,2
Gwa3cDCkjp,0
9iTmA0E1Ht,0
zFfncJiWK3,1
D7BMNVHLW1,1
9Gbue2szV5,1
tH9dI1Oayu,4
cYWwtfyXJQ,2
WVuXtlERzp,1
MRtYAHUk2d,2
yS85tQez3G,1
FayXUP9Vi8,3
o3xpK4ran6,1
bMR5DmBjzW,1
PrezDZYvkH,0
YZmF5gfJVA,0
7XmrNnhuIC,1
UuwEFa2VyS,2
rmJ1hVEbAj,3
LaIp3QJm4E,0
e54DndgNUt,4
094YUWjdeX,2
ET4xjAOq2r,2
ilLnjK1vBh,0
VtR2Jfc87B,1
UInMsc2hVO,1
AMSO98Yc7K,1
XbJecdMiUr,0
lMTi038Q4A,1
CJfBhNOqax,1
oh2vipMGDr,4
sYxr1nyjJz,1
t1A4yPvHsp,2
BMAxuwsOYr,1
GF5tW307JQ,2
05Ox6t3H9o,1
F91b06uygd,4
YvPWr327ly,1
KhVP2UfWO4,3
QRZ6IxY3sJ,1
Lh4yvnZaKV,1
V60ztKI4S7,0
sQcPr7TKZR,1
